ws,wy,dt,lnb,q.cm,ph.,cnd.us_s,alk.mg_l,sed.mg_l,slc.mg_l,upt.,tdp.,partp.,pop.,utn.,tdm.,don.mg_l,ptn.mg_l,utk,tkn,nhn.mg_l,non.mg_l,sod.mg_l,pot.mg_l,cal.mg_l,mg.mg_l,sos.mg_l,chl.mg_l,doc.mg_l,pvol,anca
GSLOOK,2005,38484.625,0,82.47,,,,,,,,,,,,,,,,,,,,,,,,,,
GSLOOK,2005,38503.54861,3581,10.27,7.4,32.7,16.62,2.06,7.95,0.026,0.023,0.003,0.012,0.05,0.04,0.03,0.01,,,0.01,0,2.03,0.4,2.96,0.64,0.08,0.6,1.62,10.239,1.19
GSLOOK,2005,38523.67361,3596,6.89,7.4,33.6,17.37,2.41,8.17,0.03,0.028,0.002,0.012,0.04,0.04,0.03,0,,,0.008,0,2.08,0.43,3.21,0.69,0.07,0.54,1.39,10.839,1.15
GSLOOK,2005,38544.52431,3611,3.47,7.5,36.2,19,2.09,8.64,0.036,0.031,0.005,0.011,0.2,0.06,0.06,0.14,,,0.003,0,2.39,0.51,3.71,1.47,0.07,0.58,1.21,11.572,0.95
GSLOOK,2005,38567.40278,3626,1.96,7.5,41.4,20.71,1.11,,0.03,0.033,0,0.011,0.04,0.04,0.03,0,,,0.007,0.001,2.65,0.56,4.06,1.4,0.07,0.65,1.31,12.469,0.98
GSLOOK,2005,38587.45139,3645,1.13,7.6,42.7,21.46,2.35,9.2,0.032,0.028,0.004,0.011,0.06,0.07,0.06,0,,,0.014,0.001,2.71,0.64,3.8,1.14,0.07,0.76,1.4,10.35,1.09
GSLOOK,2005,38607.47917,3660,1,7.6,43.5,21.54,2.25,8.96,0.025,0.024,0.001,0.012,0.07,0.05,0.05,0.02,,,0.005,0,2.73,0.61,3.96,1.14,0.08,1.01,1.09,10.366,1.09
GSLOOK,2006,38628.65972,3675,1.1,7.5,41.7,20.75,1.89,8.71,0.026,0.026,0,0.012,0.06,0.04,0.03,0.02,,,0.008,0,2.63,0.53,4.08,1.18,0.08,0.81,0.95,10.572,1.03
GSLOOK,2006,38650.44097,3690,1.14,7.5,43.3,19.08,1.54,8.76,0.028,0.021,0.007,0.012,0.05,0.05,0.05,0,,,0.003,0,2.74,0.54,4.02,1.19,0.09,2.31,1.01,11.059,1.05
GSLOOK,2006,38671.52431,3706,11.01,7.9,29.2,14.12,5.71,7.82,0.024,0.017,0.007,0.012,0.15,0.08,0.02,0.07,,,0.031,0.031,2.25,0.45,3.42,0.92,0.08,1.84,1.55,11.181,0.96
GSLOOK,2006,38693.61806,3721,10.19,7.4,33.2,16.46,0.95,7.79,0.019,0.015,0.004,0.01,0.05,0.05,0.03,0,,,0.006,0.012,2.08,0.37,3.13,0.84,0.08,0.92,1.01,10.125,1.11
GSLOOK,2006,38713.52778,3736,14.04,7.3,29,14.46,3.07,7.27,0.026,0.021,0.005,0.011,0.09,0.09,0.03,0,,,0.035,0.025,1.99,0.36,2.68,0.72,0.08,0.74,1.22,5.783,1.09
GSLOOK,2006,38736.46181,3751,62.15,7.3,25.9,12.87,219.77,6.69,0.124,0.021,0.103,0.015,0.22,0.06,0.04,0.16,,,0.011,0.014,1.7,0.36,2.43,0.61,0.08,0.62,1.36,24.239,1.1
GSLOOK,2006,38755.58681,3766,25.46,7.3,28.7,14.62,3.9,7.54,0.026,0.021,0.005,0.014,0.03,0.03,0.02,0,,,0.002,0.004,1.81,0.35,2.6,0.68,0.08,0.6,0.93,11.388,1.15
GSLOOK,2006,38775.55903,3786,9.23,7.3,29.9,15.33,3.75,7.78,0.024,0.02,0.004,0.012,0.04,0.02,0.01,0.02,,,0.006,0.001,1.92,0.38,2.62,0.79,0.09,0.64,0.73,7.571,1.14
GSLOOK,2006,38796.67014,3801,8.14,7.4,30.7,15.42,145.28,7.85,0.148,0.019,0.129,0.012,0.13,0.04,0.02,0.09,,,0.022,0.001,1.99,0.37,2.72,0.79,0.09,0.67,1.01,9.359,1.12
GSLOOK,2006,38818.50347,3816,9.87,7.4,30.7,15.33,46.18,7.78,0.043,0.022,0.021,0.011,0.05,0.02,0.01,0.03,,,0.007,0,1.99,0.37,2.6,0.79,0.09,0.62,0.85,9.77,1.13
GSLOOK,2006,38839.40278,3832,12.33,7.3,26.7,13.29,42.11,6.8,0.042,0.015,0.027,0.008,0.05,0.05,0.04,0,,,0.008,0.001,1.73,0.35,2.34,0.88,0.08,0.66,0.83,9.483,1.06
GSLOOK,2006,38861.33681,3847,8.02,7.3,27,13.71,24.01,6.56,0.042,0.018,0.024,0.008,0.12,0.08,0.03,0.04,,,0.052,0.003,1.66,0.4,2.31,0.8,0.07,0.59,1.02,10.382,1.11
GSLOOK,2006,38881.51736,3862,7.04,7.4,29,14.83,50.1,7.21,0.058,0.022,0.036,0.011,0.11,0.08,0.04,0.03,,,0.039,0.001,1.9,0.38,2.67,0.9,0.08,0.61,1.06,9.565,1.06
GSLOOK,2006,38903.36111,3877,3.72,7.4,33.7,16.87,13.94,8.29,0.045,0.02,0.025,0.01,0.06,0.05,0.04,0.01,,,0.014,0,2.16,0.45,3,0.98,0.07,0.62,1.06,10.479,1.07
GSLOOK,2006,38922.54861,3892,1.78,7.5,38.2,19.46,11.62,8.66,0.038,0.027,0.011,0.017,0.08,0.09,0.05,0,,,0.039,0,2.37,0.52,3.44,1.06,0.08,0.67,1.05,9.471,1.1
GSLOOK,2006,38944.39931,3912,1.24,7.5,39.1,19.75,1.33,8.94,0.027,0.025,0.002,0.013,0.05,0.05,0.04,0,,,0.006,0,2.5,0.58,3.54,1.29,0.07,0.69,0.95,10.419,1.03
GSLOOK,2006,38965.51736,3927,0.82,7.5,40,19.83,1.15,8.96,0.026,0.021,0.005,0.013,0.04,0.04,0.03,0,,,0.014,0,2.67,0.58,3.55,1.3,0.08,0.77,0.9,10.306,1.02
