msr,id,tp,twsp,ws,wy,dt,wd,qm.cfs,qc.cfs,qmx.cfs,qmn.cfs,q.cv,uqm.cfsm,uqc.cfsm,ptm.mm,ptmx.mm,ptmn.mm,pt.cv,lbn.,uq.cm,ph.,cnd.us_s,alk.mg_l,sed.mg_l,slc.mg_l,utn.mg_l,tdn.mg_l,utkn.mg_l,tkn.mg_l,don.mg_l,ptn.mg_l,nhn.mg_l,non.mg_l,sod.mg_l,pot.mg_l,cal.mg_l,mag.mg_l,sul.mg_l,chl.mg_l,doc.mg_l,tn.s.mg_mg,tc.s.mg_mg,tcn.,tn.mg_mgsed,tc.mg_mgsed,tn.mg_100mgsed,tc.mg_100mgsed,d13c.permil,d15n.permil,fch,ssn,log.uq,log.qmx,log.ptm,log.ptmx,log.sed.mg_l,log.slc.mg_l,log.alk.mg_l,log.don.mg_l,log.ptn.mg_l,log.nhn.mg_l,log.utn.mg_l,log.tdn.mg_l,log.doc.mg_l,oc.mg_l,n.mg_l,ws.f,logt,cdt,sdt
ms,9_1969_  1A,P,1,9,1969,25120,9,0.002666667,0.024,0.004,0.002,18.75,0.081555556,0.027,NA,NA,NA,NA,  1A,0.07,7.4,NA,27.21,0.6,NA,0.11,0.09,NA,0.09,0.08,NA,0.006,NA,3.06,0.07,5.07,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/9/1968,Fall,-2.659260037,-5.521460918,NA,NA,-0.510825624,NA,3.303584553,-2.525728644,NA,-5.11599581,0.104360015,0.086177696,NA,NA,NA,Old-growth,pre-log,0.988022666,0.154308821
ms,9_1969_  2A,F,2,9,1969,25132,21,0.09275,1.113,0.368,0.002,85.32720719,2.809333333,1.254,NA,NA,NA,NA,  2A,3.09,7.3,NA,20.83,1.86,NA,0.11,0.09,NA,0.09,0.09,NA,0.004,NA,2.66,0.04,4.08,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/21/1968,Fall,1.128171091,-0.999672341,NA,NA,0.620576488,NA,3.036394255,-2.407945609,NA,-5.521460918,0.104360015,0.086177696,NA,NA,NA,Old-growth,pre-log,0.935367949,0.353676122
ms,9_1969_  3A,F,3,9,1969,25148,37,0.0490625,0.785,0.326,0.009,106.8576866,1.4865625,0.885,NA,NA,NA,NA,  3A,2.29,7.1,NA,20.83,0.85,NA,0.11,0.09,NA,0.09,0.09,NA,0.004,NA,2.66,0.04,4.08,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/6/1968,Fall,0.828551818,-1.120857898,NA,NA,-0.16251893,NA,3.036394255,-2.407945609,NA,-5.521460918,0.104360015,0.086177696,NA,NA,NA,Old-growth,pre-log,0.803927962,0.594726687
ms,9_1969_  4A,F,4,9,1969,25154,43,0.692,4.152,2.796,0.088,87.83312601,20.98583333,4.684,NA,NA,NA,NA,  4A,11.35,7.3,NA,16.96,14.32,NA,0.11,0.08,NA,0.08,0.05,NA,0.026,NA,1.91,0.06,3.66,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/12/1968,Fall,2.429217744,1.028189824,NA,NA,2.661657162,NA,2.83085763,-2.995732274,NA,-3.649658741,0.104360015,0.076961041,NA,NA,NA,Old-growth,pre-log,0.738326354,0.674443619
ms,9_1969_  5A,F,5,9,1969,25167,56,0.202846154,2.637,0.436,0.104,33.17791842,6.151461538,2.974,NA,NA,NA,NA,  5A,7.92,7.2,NA,17.75,0.65,NA,0.11,0.02,NA,0.02,0.02,NA,0.003,NA,2.05,0.04,3.45,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/25/1968,Fall,2.069391206,-0.830113036,NA,NA,-0.430782916,NA,2.876385516,-3.912023005,NA,-5.80914299,0.104360015,0.019802627,NA,NA,NA,Old-growth,pre-log,0.570242293,0.821476553
ms,9_1969_  6A,P,6,9,1969,25181,70,0.418928571,5.865,2.873,0.098,114.7082798,12.708,6.618,NA,NA,NA,NA,  6A,16.68,7,NA,15.92,7.25,NA,0.11,0.07,NA,0.07,0.06,NA,0.008,NA,2.03,0.05,3.03,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/9/1968,Fall,2.814210397,1.05535678,NA,NA,1.981001469,NA,2.76757618,-2.813410717,NA,-4.828313737,0.104360015,0.067658648,NA,NA,NA,Old-growth,pre-log,0.357698239,0.933837229
ms,9_1969_  7A,P,7,9,1969,25198,87,0.332,5.644,0.847,0.178,46.06895463,10.06988235,6.368,NA,NA,NA,NA,  7A,16.04,NA,NA,15.62,1.87,NA,0.11,0.1,NA,0.1,0.09,NA,0.01,NA,2.04,0.04,3.2,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/26/1968,Winter,2.775085602,-0.166054584,NA,NA,0.625938431,NA,2.748552144,-2.407945609,NA,-4.605170186,0.104360015,0.09531018,NA,NA,NA,Old-growth,pre-log,0.07309513,0.997324973
ms,9_1969_  8A,F,8,9,1969,25212,101,0.565642857,7.919,1.442,0.246,33.62405256,17.158,8.934,NA,NA,NA,NA,  8A,22.39,NA,NA,15.5,1.53,NA,0.11,0.05,NA,0.05,0.05,NA,NA,0.003,1.96,0.04,3.03,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/9/1969,Winter,3.108614431,0.366031039,NA,NA,0.425267735,NA,2.740840024,-2.995732274,NA,NA,0.104360015,0.048790164,NA,NA,NA,Old-growth,pre-log,-0.167051626,0.98594815
ms,9_1969_  9A,F,9,9,1969,25238,127,0.2555,6.643,1.225,0.124,78.67611034,7.749115385,7.493,NA,NA,NA,NA,  9A,19.64,NA,NA,15.42,0.5,NA,0.11,0.1,NA,0.1,0.07,NA,0.03,NA,1.8,0.04,2.55,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/4/1969,Winter,2.977568303,0.202940844,NA,NA,-0.693147181,NA,2.735665368,-2.659260037,NA,-3.506557897,0.104360015,0.09531018,NA,NA,NA,Old-growth,pre-log,-0.577291617,0.816538051
ms,9_1969_ 10A,F,10,9,1969,25251,140,0.278538462,3.621,0.607,0.097,47.74015524,8.446461538,4.083,NA,NA,NA,NA, 10A,10.09,7.1,NA,15.71,2.47,NA,0.11,0.04,NA,0.04,0.04,NA,0.001,NA,1.98,0.05,2.92,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/17/1969,Winter,2.311544834,-0.499226488,NA,NA,0.904218151,NA,2.754297452,-3.218875825,NA,-6.907755279,0.104360015,0.039220713,NA,NA,NA,Old-growth,pre-log,-0.74410394,0.668063864
ms,9_1969_ 11A,P,11,9,1969,25266,155,0.216333333,3.245,0.33,0.138,22.19600523,6.5662,3.663,NA,NA,NA,NA, 11A,9.51,6.9,NA,15.5,0.46,NA,0.11,0.03,NA,0.03,0.03,NA,0.005,NA,1.98,0.04,2.76,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/4/1969,Winter,2.252343877,-1.108662625,NA,NA,-0.77652879,NA,2.740840024,-3.506557897,NA,-5.298317367,0.104360015,0.029558802,NA,NA,NA,Old-growth,pre-log,-0.890027576,0.455906694
ms,9_1969_ 12A,F,12,9,1969,25281,170,0.2858,4.287,0.881,0.135,61.9085701,8.6718,4.837,NA,NA,NA,NA, 12A,12.06,6.8,NA,15,0.5,NA,0.11,0.03,NA,0.03,0.03,NA,0.004,NA,1.85,0.04,2.55,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/19/1969,Spring,2.489894191,-0.126697653,NA,NA,-0.693147181,NA,2.708050201,-3.506557897,NA,-5.521460918,0.104360015,0.029558802,NA,NA,NA,Old-growth,pre-log,-0.976938493,0.213520915
ms,9_1969_ 13A,F,13,9,1969,25294,183,0.142,1.846,0.31,0.069,41.99943164,4.313923077,2.085,NA,NA,NA,NA, 13A,5.68,7.4,NA,19.92,0.62,NA,0.11,0.02,NA,0.02,0.01,NA,0.009,NA,2.43,0.03,3.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/1/1969,Spring,1.736951233,-1.171182982,NA,NA,-0.478035801,NA,2.991724252,-4.605170186,NA,-4.710530702,0.104360015,0.019802627,NA,NA,NA,Old-growth,pre-log,-0.999962959,-0.008606997
