"","site","elev","date","p_mm_day","elev_c"
"1","CS2MET",260,1957-10-01,4.1,"Low"
"2","CS2MET",260,1957-10-02,27.4,"Low"
"3","CS2MET",260,1957-10-03,22.9,"Low"
"4","CS2MET",260,1957-10-04,9.4,"Low"
"5","CS2MET",260,1957-10-05,5.3,"Low"
"6","CS2MET",260,1957-10-06,17.3,"Low"
"7","CS2MET",260,1957-10-07,5.8,"Low"
"8","CS2MET",260,1957-10-08,9.1,"Low"
"9","CS2MET",260,1957-10-09,0,"Low"
"10","CS2MET",260,1957-10-10,0,"Low"
"11","CS2MET",260,1957-10-11,0,"Low"
"12","CS2MET",260,1957-10-12,17.5,"Low"
"13","CS2MET",260,1957-10-13,16,"Low"
"14","CS2MET",260,1957-10-14,0.5,"Low"
"15","CS2MET",260,1957-10-15,0,"Low"
"16","CS2MET",260,1957-10-16,0,"Low"
"17","CS2MET",260,1957-10-17,0,"Low"
"18","CS2MET",260,1957-10-18,0,"Low"
"19","CS2MET",260,1957-10-19,0,"Low"
"20","CS2MET",260,1957-10-20,0,"Low"
"21","CS2MET",260,1957-10-21,0,"Low"
"22","CS2MET",260,1957-10-22,0.8,"Low"
"23","CS2MET",260,1957-10-23,2.3,"Low"
"24","CS2MET",260,1957-10-24,1.5,"Low"
"25","CS2MET",260,1957-10-25,7.6,"Low"
"26","CS2MET",260,1957-10-26,0,"Low"
"27","CS2MET",260,1957-10-27,0,"Low"
"28","CS2MET",260,1957-10-28,0,"Low"
"29","CS2MET",260,1957-10-29,0,"Low"
"30","CS2MET",260,1957-10-30,0.5,"Low"
"31","CS2MET",260,1957-10-31,0.8,"Low"
"32","CS2MET",260,1957-11-01,0,"Low"
"33","CS2MET",260,1957-11-02,0,"Low"
"34","CS2MET",260,1957-11-03,0,"Low"
"35","CS2MET",260,1957-11-04,0,"Low"
"36","CS2MET",260,1957-11-05,0,"Low"
"37","CS2MET",260,1957-11-06,0,"Low"
"38","CS2MET",260,1957-11-07,0,"Low"
"39","CS2MET",260,1957-11-08,0,"Low"
