"","STCODE","ENTITY","SITECODE","WATERYEAR","DATE_TIME","LABNO","TYPE","INTERVAL","MEAN_LPS","Q_AREA_CM","QCODE","PH","PHCODE","COND","CONDCODE","ALK","ALKCODE","SSED","SSEDCODE","SI","SICODE","UTP","UTPCODE","TDP","TDPCODE","PARTP","PARTPCODE","PO4P","PO4PCODE","UTN","UTNCODE","TDN","TDNCODE","DON","DONCODE","PARTN","PARTNCODE","UTKN","UTKNCODE","TKN","TKNCODE","NH3N","NH3NCODE","NO3N","NO3NCODE","NA.","NACODE","K","KCODE","CA","CACODE","MG","MGCODE","SO4S","SO4SCODE","CL","CLCODE","DOC","DOCCODE","PVOL","PVOLCODE","ANCA","ANCACODE"
"1","CF002",1,"GSLOOK",2005,2005-05-12 15:00:00,"0000","N",0,NA,82.47,"E",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N"
"2","CF002",1,"GSLOOK",2005,2005-05-31 13:10:00,"3581","F",18.92,3920.72,10.27,"A",7.4,"A",32.7,"A",16.62,"A",2.06,"A",7.95,"A",0.026,"A",0.023,"A",0.003,"D",0.012,"A",0.05,"A",0.04,"A",0.03,"D*",0.01,"D",NA,"N",NA,"N",0.01,"*",0,"*",2.03,"A",0.4,"A",2.96,"A",0.64,"A",0.08,"A",0.6,"A",1.62,"A",10.239,"A",1.19,"D*"
"3","CF002",1,"GSLOOK",2005,2005-06-20 16:10:00,"3596","F",20.13,2473.33,6.89,"A",7.4,"A",33.6,"A",17.37,"A",2.41,"A",8.17,"A",0.03,"A",0.028,"A",0.002,"D",0.012,"A",0.04,"A",0.04,"A",0.03,"D*",0,"D",NA,"N",NA,"N",0.008,"*",0,"*",2.08,"A",0.43,"A",3.21,"A",0.69,"A",0.07,"A",0.54,"A",1.39,"A",10.839,"A",1.15,"D*"
"4","CF002",1,"GSLOOK",2005,2005-07-11 12:35:00,"3611","F",20.85,1202.3,3.47,"A",7.5,"A",36.2,"A",19,"A",2.09,"A",8.64,"A",0.036,"A",0.031,"A",0.005,"D",0.011,"A",0.2,"A",0.06,"A",0.06,"D*",0.14,"D",NA,"N",NA,"N",0.003,"*",0,"*",2.39,"A",0.51,"A",3.71,"A",1.47,"A",0.07,"A",0.58,"A",1.21,"A",11.572,"A",0.95,"D*"
"5","CF002",1,"GSLOOK",2005,2005-08-03 09:40:00,"3626","F",22.88,618.92,1.96,"A",7.5,"A",41.4,"A",20.71,"A",1.11,"A",NA,"N",0.03,"A",0.033,"A",0,"D",0.011,"A",0.04,"A",0.04,"A",0.03,"D*",0,"D",NA,"N",NA,"N",0.007,"*",0.001,"*",2.65,"A",0.56,"A",4.06,"A",1.4,"A",0.07,"A",0.65,"A",1.31,"A",12.469,"A",0.98,"D*"
"6","CF002",1,"GSLOOK",2005,2005-08-23 10:50:00,"3645","F",20.05,407.2,1.13,"A",7.6,"A",42.7,"A",21.46,"A",2.35,"A",9.2,"A",0.032,"A",0.028,"A",0.004,"D",0.011,"A",0.06,"A",0.07,"A",0.06,"D*",0,"D",NA,"N",NA,"N",0.014,"A",0.001,"*",2.71,"A",0.64,"A",3.8,"A",1.14,"A",0.07,"A",0.76,"A",1.4,"A",10.35,"A",1.09,"D*"
"7","CF002",1,"GSLOOK",2005,2005-09-12 11:30:00,"3660","F",20.03,360.73,1,"A",7.6,"A",43.5,"A",21.54,"A",2.25,"A",8.96,"A",0.025,"A",0.024,"A",0.001,"D",0.012,"A",0.07,"A",0.05,"A",0.05,"D*",0.02,"D",NA,"N",NA,"N",0.005,"*",0,"*",2.73,"A",0.61,"A",3.96,"A",1.14,"A",0.08,"A",1.01,"A",1.09,"A",10.366,"A",1.09,"D*"
"8","CF002",1,"GSLOOK",2006,2005-10-03 15:50:00,"3675","F",21.18,375.2,1.1,"A",7.5,"A",41.7,"A",20.75,"A",1.89,"A",8.71,"A",0.026,"A",0.026,"A",0,"D",0.012,"A",0.06,"A",0.04,"A",0.03,"D*",0.02,"D",NA,"N",NA,"N",0.008,"*",0,"*",2.63,"A",0.53,"A",4.08,"A",1.18,"A",0.08,"A",0.81,"A",0.95,"A",10.572,"A",1.03,"D*"
"9","CF002",1,"GSLOOK",2006,2005-10-25 10:35:00,"3690","F",21.78,378.11,1.14,"A",7.5,"A",43.3,"A",19.08,"A",1.54,"A",8.76,"A",0.028,"A",0.021,"A",0.007,"D",0.012,"A",0.05,"A",0.05,"A",0.05,"D*",0,"D",NA,"N",NA,"N",0.003,"*",0,"*",2.74,"A",0.54,"A",4.02,"A",1.19,"A",0.09,"A",2.31,"A",1.01,"A",11.059,"A",1.05,"D*"
"10","CF002",1,"GSLOOK",2006,2005-11-15 12:35:00,"3706","F",21.08,3772.68,11.01,"A",7.9,"A",29.2,"A",14.12,"A",5.71,"A",7.82,"A",0.024,"A",0.017,"A",0.007,"D",0.012,"A",0.15,"A",0.08,"A",0.02,"D",0.07,"D",NA,"N",NA,"N",0.031,"A",0.031,"A",2.25,"A",0.45,"A",3.42,"A",0.92,"A",0.08,"A",1.84,"A",1.55,"A",11.181,"A",0.96,"D"
